Some seeds for testing, using random.nextDouble() and random.nextInt(4), in this exact order.

Seed: 0, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 31, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 32, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 33, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 34, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 35, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 36, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 37, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 38, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 39, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 40, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 41, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 42, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 43, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 44, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 45, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 46, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 47, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 48, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 49, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 50, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 51, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 52, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 53, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 54, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 55, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 56, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 57, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 58, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 59, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 60, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 61, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 62, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 63, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 64, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 65, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 66, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 67, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 68, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 69, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 70, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 71, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 72, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 73, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 74, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 75, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 76, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 77, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 78, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 79, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 80, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 81, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 82, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 83, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 84, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 85, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 86, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 87, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 88, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 89, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 90, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 91, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 92, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 93, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 94, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 95, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 96, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 97, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 98, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 99, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 100, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 101, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 102, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 103, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 104, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 105, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 106, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 107, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 108, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 109, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 110, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 111, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 112, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 113, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 114, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 115, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 116, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 117, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 118, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 119, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 120, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 121, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 122, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 123, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 124, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 125, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 126, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 127, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 128, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 129, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 130, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 131, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 132, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 133, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 134, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 135, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 136, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 137, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 138, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 139, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 140, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 141, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 142, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 143, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 144, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 145, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 146, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 147, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 148, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 149, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 150, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 151, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 152, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 153, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 154, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 155, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 156, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 157, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 158, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 159, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 160, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 161, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 162, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
